Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,95.5,95.66,90.845,91.02,91.02,60731796,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-11-29,97.25,97.74,94.78,95.53,95.53,43557441,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-11-22,95.48,97.92,94.925,97.27,97.27,61023116,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-11-15,93.77,95.69,92.93,94.73,94.73,54588819,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-11-08,88.63,94.265,88.51,93.75,93.75,72608319,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-11-01,87.86,90.11,87.65,88.03,88.03,62655719,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-10-25,90.94,91.23,89.2,89.77,89.77,47541776,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-10-18,92.16,92.92,89.7,90.34,90.34,62681623,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-10-11,93.51,94.21,90.21,92.81,92.81,78130387,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-10-04,87.03,93.465,86.525,93.18,93.18,105765255,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-09-27,88.2,90.14,85.17,87.19,87.19,83138397,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-09-20,86.31,89.955,85.92,88.76,88.0413,72944010,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-09-13,86.27,87.43,83.02,85.59,84.897,94120777,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-09-06,89.79,89.9269,85.66,86.01,85.3136,64573125,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-08-30,91.39,91.995,89.3737,91.28,90.5409,51887606,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-08-23,90.62,91.85,88.575,90.39,89.6581,59348477,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-08-16,89.93,90.86,87.5,90.47,89.7375,58959059,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-08-09,86.5,89.79,85.47,89.41,88.6861,75763029,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-08-02,92.2,94.14,87.51,88.4,87.6842,88699089,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-07-26,91.88,92.575,89.715,92.19,91.4435,72063992,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-07-19,91.16,94.51,90.81,92.37,91.6221,71862283,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-07-12,89.45,90.93,88.39,90.52,89.7871,49406938,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-07-05,91.88,92.18,89.7,90.1,89.3705,44760321,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-06-28,89.53,91.82,89.38,91.15,90.412,61643743,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-06-21,87.92,90.76,87.6,89.75,88.3315,66446855,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-06-14,90.33,91.27,87.67,88.04,86.6486,64003529,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-06-07,92.89,92.92,88.7,89.99,88.5678,71077216,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-05-31,91.69,93.2661,90.27,93.2,91.727,57096734,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-05-24,95.0,95.21,91.08,91.37,89.9259,61721545,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-05-17,94.05,95.105,92.12,94.96,93.4592,68852781,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-05-10,92.86,94.86,92.53,93.83,92.3471,58628791,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-05-03,95.46,96.6,91.345,92.57,91.107,90641746,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-04-26,94.47,96.92,93.72,95.74,94.2269,69536199,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-04-19,96.59,97.05,93.46,94.97,93.469,86808173,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-04-12,98.13,98.97,95.67,96.13,94.6107,96132518,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-04-05,94.69,98.4667,93.7563,98.08,96.5299,88835719,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-03-22,91.19,92.87,90.43,92.4,90.9397,66492417,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-03-15,88.19,92.22,87.53,91.56,89.3931,82438618,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
